23,无间道,  無間道,9.1,"
                            导演: 刘伟强 / 麦兆辉   主演: 刘德华 / 梁朝伟 / 黄秋生
                            2002 / 香港 / 剧情 犯罪 悬疑
                        ",https://movie.douban.com/subject/1307914/
24,当幸福来敲门,  The Pursuit of Happyness,8.9,"
                            导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ...
                            2006 / 美国 / 剧情 传记 家庭
                        ",https://movie.douban.com/subject/1849031/
25,怦然心动,  Flipped,8.9,"
                            导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...
                            2010 / 美国 / 剧情 喜剧 爱情
                        ",https://movie.douban.com/subject/3319755/
26,天堂电影院,  Nuovo Cinema Paradiso,9.1,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 安东娜拉·塔莉 Antonel...
                            1988 / 意大利 法国 / 剧情 爱情
                        ",https://movie.douban.com/subject/1291828/
27,十二怒汉,  12 Angry Men,9.4,"
                            导演: Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...
                            1957 / 美国 / 剧情
                        ",https://movie.douban.com/subject/1293182/
28,鬼子来了,  Devils on the Doorstep,9.2,"
                            导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...
                            2000 / 中国大陆 / 剧情 历史 战争
                        ",https://movie.douban.com/subject/1291858/
29,蝙蝠侠：黑暗骑士,  The Dark Knight,9.1,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...
                            2008 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚
                        ",https://movie.douban.com/subject/1851857/
30,少年派的奇幻漂流,  Life of Pi,9,"
                            导演: 李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...
                            2012 / 美国 台湾 英国 加拿大 / 剧情 奇幻 冒险
                        ",https://movie.douban.com/subject/1929463/
31,活着,  人生    Lifetimes,9.1,"
                            导演: 张艺谋 Yimou Zhang   主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang
                            1994 / 中国大陆 香港 / 剧情 历史 家庭
                        ",https://movie.douban.com/subject/1292365/
32,搏击俱乐部,  Fight Club,9,"
                            导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉...
                            1999 / 美国 德国 / 剧情 动作 悬疑 惊悚
                        ",https://movie.douban.com/subject/1292000/
33,疯狂动物城,  Zootopia,9.2,"
                            导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore   主演: 金妮弗·...
                            2016 / 美国 / 喜剧 动画 冒险
                        ",https://movie.douban.com/subject/25662329/
34,指环王3：王者无敌,  The Lord of the Rings: The Return of the King,9.1,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 维果·莫腾森 Viggo Mortensen / ...
                            2003 / 美国 新西兰 / 剧情 动作 奇幻 冒险
                        ",https://movie.douban.com/subject/1291552/
35,天空之城,  天空の城ラピュタ,9,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...
                            1986 / 日本 / 动画 奇幻 冒险
                        ",https://movie.douban.com/subject/1291583/
36,大话西游之月光宝盒,  西遊記第壹佰零壹回之月光寶盒,8.9,"
                            导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...
                            1995 / 香港 中国大陆 / 喜剧 爱情 奇幻 冒险
                        ",https://movie.douban.com/subject/1299398/
37,罗马假日,  Roman Holiday,8.9,"
                            导演: 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn / 格...
                            1953 / 美国 / 喜剧 剧情 爱情
                        ",https://movie.douban.com/subject/1293839/
38,飞屋环游记,  Up,8.9,"
                            导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson   主演: 爱德...
                            2009 / 美国 / 剧情 喜剧 动画 冒险
                        ",https://movie.douban.com/subject/2129039/
39,控方证人,  Witness for the Prosecution,9.6,"
                            导演: 比利·怀尔德 Billy Wilder   主演: 查尔斯·劳顿 Charles Laughton / ...
                            1957 / 美国 / 剧情 犯罪 悬疑
                        ",https://movie.douban.com/subject/1296141/
40,窃听风暴,  Das Leben der Anderen,9.1,"
                            导演: 弗洛里安·亨克尔·冯·多纳斯马 Florian Henckel von Donnersmarck   ...
                            2006 / 德国 / 剧情 悬疑
                        ",https://movie.douban.com/subject/1900841/
41,两杆大烟枪,"  Lock, Stock and Two Smoking Barrels",9.1,"
                            导演: Guy Ritchie   主演: Jason Flemyng / Dexter Fletcher / Nick Moran
                            1998 / 英国 / 剧情 喜剧 犯罪
                        ",https://movie.douban.com/subject/1293350/
42,飞越疯人院,  One Flew Over the Cuckoo's Nest,9,"
                            导演: 米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols...
                            1975 / 美国 / 剧情
                        ",https://movie.douban.com/subject/1292224/
43,闻香识女人,  Scent of a Woman,8.9,"
                            导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino / 克里斯...
                            1992 / 美国 / 剧情
                        ",https://movie.douban.com/subject/1298624/
44,哈尔的移动城堡,  ハウルの動く城,8.9,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô / 木村拓...
                            2004 / 日本 / 动画 奇幻 冒险
                        ",https://movie.douban.com/subject/1308807/
45,辩护人,  변호인,9.2,"
                            导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song / 吴达洙 Dal-su O...
                            2013 / 韩国 / 剧情
                        ",https://movie.douban.com/subject/21937445/
46,海豚湾,  The Cove,9.3,"
                            导演: Louie Psihoyos   主演: John Chisholm / Mandy-Rae Cruikshank / Char...
                            2009 / 美国 / 纪录片
                        ",https://movie.douban.com/subject/3442220/
47,V字仇杀队,  V for Vendetta,8.8,"
                            导演: 詹姆斯·麦克特格 James McTeigue   主演: 娜塔莉·波特曼 Natalie Por...
                            2005 / 美国 英国 德国 / 剧情 动作 科幻 惊悚
                        ",https://movie.douban.com/subject/1309046/
48,死亡诗社,  Dead Poets Society,9,"
                            导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...
                            1989 / 美国 / 剧情
                        ",https://movie.douban.com/subject/1291548/
49,教父2,  The Godfather: Part Ⅱ,9.1,"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...
                            1974 / 美国 / 剧情 犯罪
                        ",https://movie.douban.com/subject/1299131/
50,美丽心灵,  A Beautiful Mind,8.9,"
                            导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 艾德·哈...
                            2001 / 美国 / 传记 剧情
                        ",https://movie.douban.com/subject/1306029/
51,指环王2：双塔奇兵,  The Lord of the Rings: The Two Towers,9,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...
                            2002 / 美国 新西兰 / 剧情 动作 奇幻 冒险
                        ",https://movie.douban.com/subject/1291572/
52,摔跤吧！爸爸,  Dangal,9.1,"
                            导演: 涅提·蒂瓦里 Nitesh Tiwari   主演: 阿米尔·汗 Aamir Khan / 法缇玛...
                            2016 / 印度 / 剧情 传记 运动 家庭
                        ",https://movie.douban.com/subject/26387939/
53,指环王1：魔戒再现,  The Lord of the Rings: The Fellowship of the Ring,8.9,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...
                            2001 / 新西兰 美国 / 剧情 动作 奇幻 冒险
                        ",https://movie.douban.com/subject/1291571/
54,饮食男女,  飲食男女,9.1,"
                            导演: 李安 Ang Lee   主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...
                            1994 / 台湾 美国 / 剧情 家庭
                        ",https://movie.douban.com/subject/1291818/
55,情书,  Love Letter,8.8,"
                            导演: 岩井俊二 Shunji Iwai   主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...
                            1995 / 日本 / 剧情 爱情
                        ",https://movie.douban.com/subject/1292220/
56,美国往事,  Once Upon a Time in America,9.1,"
                            导演: 赛尔乔·莱翁内 Sergio Leone   主演: 罗伯特·德尼罗 Robert De Niro ...
                            1984 / 意大利 美国 / 犯罪 剧情
                        ",https://movie.douban.com/subject/1292262/
57,狮子王,  The Lion King,8.9,"
                            导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...
                            1994 / 美国 / 剧情 动画 冒险 歌舞 家庭
                        ",https://movie.douban.com/subject/1301753/
58,钢琴家,  The Pianist,9,"
                            导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...
                            2002 / 法国 德国 英国 波兰 / 剧情 传记 历史 战争 音乐
                        ",https://movie.douban.com/subject/1296736/
59,素媛,  소원,9.1,"
                            导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...
                            2013 / 韩国 / 剧情
                        ",https://movie.douban.com/subject/21937452/
60,小鞋子,  بچههای آسمان,9.2,"
                            导演: 马基德·马基迪 Majid Majidi   主演: Amir Farrokh Hashemian / 默罕...
                            1997 / 伊朗 / 剧情 家庭 儿童
                        ",https://movie.douban.com/subject/1303021/
61,天使爱美丽,  Le fabuleux destin d'Amélie Poulain,8.7,"
                            导演: 让-皮埃尔·热内 Jean-Pierre Jeunet   主演: 奥黛丽·塔图 Audrey Tau...
                            2001 / 法国 德国 / 喜剧 爱情
                        ",https://movie.douban.com/subject/1292215/
62,七宗罪,  Se7en,8.7,"
                            导演: 大卫·芬奇 David Fincher   主演: 摩根·弗里曼 Morgan Freeman / 布...
                            1995 / 美国 / 剧情 犯罪 悬疑 惊悚
                        ",https://movie.douban.com/subject/1292223/
63,被嫌弃的松子的一生,  嫌われ松子の一生,8.9,"
                            导演: 中岛哲也 Tetsuya Nakashima   主演: 中谷美纪 Miki Nakatani / 瑛太 E...
                            2006 / 日本 / 剧情 歌舞
                        ",https://movie.douban.com/subject/1787291/
64,致命魔术,  The Prestige,8.8,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 休·杰克曼 Hugh Jackman...
                            2006 / 美国 英国 / 剧情 悬疑 惊悚
                        ",https://movie.douban.com/subject/1780330/
65,本杰明·巴顿奇事,  The Curious Case of Benjamin Button,8.8,"
                            导演: 大卫·芬奇 David Fincher   主演: 凯特·布兰切特 Cate Blanchett / ...
                            2008 / 美国 / 剧情 爱情 奇幻
                        ",https://movie.douban.com/subject/1485260/
66,音乐之声,  The Sound of Music,8.9,"
                            导演: Robert Wise   主演: 朱丽·安德鲁斯 Julie Andrews / 克里斯托弗·普...
                            1965 / 美国 / 剧情 传记 爱情 歌舞
                        ",https://movie.douban.com/subject/1294408/
67,勇敢的心,  Braveheart,8.8,"
                            导演: 梅尔·吉布森 Mel Gibson   主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...
                            1995 / 美国 / 动作 传记 剧情 历史 战争
                        ",https://movie.douban.com/subject/1294639/
68,西西里的美丽传说,  Malèna,8.8,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 莫妮卡·贝鲁奇 Monica ...
                            2000 / 意大利 美国 / 剧情 战争 情色
                        ",https://movie.douban.com/subject/1292402/
69,黑客帝国,  The Matrix,8.8,"
                            导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...
                            1999 / 美国 澳大利亚 / 动作 科幻
                        ",https://movie.douban.com/subject/1291843/
